Banka,Banka_TR,Model,Accuracy,Precision,Recall,F1_Agirlik,F1_Cozuldu,ROC_AUC,H3_Sagland,CV_F1_Ort,CV_F1_Std
VakifBank,VakıfBank,Lojistik_Regresyon,0.6776,0.7002,0.6776,0.6756,0.6621,0.7744,False,0.6119,0.038
VakifBank,VakıfBank,Random_Forest,0.7368,0.7563,0.7368,0.736,0.7297,0.8254,True,0.7046,0.0416
VakifBank,VakıfBank,SVM_Dogrusal,0.6842,0.6836,0.6842,0.6838,0.7143,0.7992,False,0.6673,0.0443
IsBank,İşBankası,Lojistik_Regresyon,0.6616,0.6886,0.6616,0.6735,0.3324,0.5989,False,0.6933,0.0102
IsBank,İşBankası,Random_Forest,0.7238,0.7417,0.7238,0.7315,0.4413,0.6663,True,0.7331,0.0089
IsBank,İşBankası,SVM_Dogrusal,0.7804,0.7972,0.7804,0.6931,0.0702,0.6842,True,0.6879,0.0073
KuveytTurk,Kuveyt Türk,Lojistik_Regresyon,0.6114,0.6151,0.6114,0.6128,0.5536,0.6615,False,0.6041,0.0294
KuveytTurk,Kuveyt Türk,Random_Forest,0.6627,0.6579,0.6627,0.6539,0.5484,0.6671,False,0.6708,0.0221
KuveytTurk,Kuveyt Türk,SVM_Dogrusal,0.6506,0.6466,0.6506,0.6339,0.5,0.6879,False,0.6549,0.0186
